UID,TRIP,MVMT,STGE,Name,Latitude,Longitude,Point Q,Cent,ARR_CALC,Arr - Y,Arr - M,Arr - D,Arr - Q,DEP_CALC,Dep - Y,Dep - M,Dep - D,Dep -Q,Date Human,Traveler ID,Traveler Name 1,Traveler Name 2,Traveler Q,Movement Type/Purpose,MvmtQ,Rumor,Description,Comment,Origins Number,Reference,Reference Cont,
13,6,2,a,Carthage,,,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,,After 28-29 September 641,1006,Ex-Patriarch Pyrrhus,,,Refugee,,,,,6,"Nicephorus I, Brev., 30, n17; Van Dieten 1972, 74.",,50
14,7,1,d,Carthage,,,,,XXXX-XX-XX,,,,,0641-XX-XX,641,,,,Before 641/6,1007,Bishop Fortunius,,,Business,,,Bishop Fortunius of Carthage came to Constantinople under Patriarch Paul II,,7,"Conc. CPitanumn a. 680-1, actio 14, ACO ser 2, 2.2.652.4-8; Van Dieten 1972, 79.",,80
15,7,2,i,Constantinople,,,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,?,Before 641/6,1007,Bishop Fortunius,,,Business,,,,,7,"Conc. CPitanumn a. 680-1, actio 14, ACO ser 2, 2.2.652.4-8; Van Dieten 1972, 79.",,80
16,7,3,a,Carthage,,,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,?,Before 641/6,1007,Bishop Fortunius,,,Business,,,,,7,"Conc. CPitanumn a. 680-1, actio 14, ACO ser 2, 2.2.652.4-8; Van Dieten 1972, 79.",,80
17,8,1,d,Rome,,,,,XXXX-XX-XX,,,,,0642-11-24,642,11,24,,After 24 November 642 and before 29 May 643,1008,Envoy,,,Letter,,,"Pope Theodore I wrote to the new Patriarch Paul II, the bishops who consecrated him, and the emperor",,8,"JE 2049, apud Anastasius Bibliothecarius' Collectanea, PL, 129.577C-584C; Caspar 1930-3, 2:544n2; cf. Van Dieten 1972, 81",,121
18,8,2,a,Constantinople,,,,,0643-05-29,643,5,29,,XXXX-XX-XX,,,,,After 24 November 642 and before 29 May 643,1008,Envoy,,,Letter,,,,,8,"JE 2049, apud Anastasius Bibliothecarius' Collectanea, PL, 129.577C-584C; Caspar 1930-3, 2:544n2; cf. Van Dieten 1972, 81",,121
19,9,1,d,Tripoli,,,,,XXXX-XX-XX,,,,,0642-XX-XX,642,,,,642-3,1009,Refugees,,,Refugee,,,Refugees fled the Arabs,,9,"Amari 1933-9, I: 232-3",,23
20,9,2,a,Sicily,,,,,0643-XX-XX,643,,,,XXXX-XX-XX,,,,,642-3,1009,Refugees,,,Refugee,,,,,9,"Amari 1933-9, I: 232-3",,22
21,10,1,d,Cyprus,,,,,XXXX-XX-XX,,,,,0643-05-29,643,5,29,,5/29/0643,1010,Envoy,,,Letter,,,Archbishop Sergius of Cyprus wrote to Pope Theodore I,,10,"ACO ser. 2, I.60.II-64.12; cf. Van Dieten 1972, 82 with n30",,59
22,10,2,a,Rome,,,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,,5/29/0643,1010,Envoy,,,Letter,,,,,10,"ACO ser. 2, I.60.II-64.12; cf. Van Dieten 1972, 82 with n30",,59
